# Дерево категорий COCO JAMBO
# Формат: путь|Название|showInHeader(1/0)
# Порядок строк не важен: скрипт сортирует по глубине.

videography/docuseries/burn-the-stage|BTS: Burn The Stage|0
videography/drama-series|Дорамы|0
videography/drama-series/begins-youth|BEGINS ≠ YOUTH|0
videography/drama-series/hwarang|Hwarang|0
videography/media|Медиа|0
videography/media/bts-7-moments|BTS 7 Moments|0
videography/media/bts-memories|BTS Memories|0
videography/media/seasons-greetings|BTS Season's Greetings|0
videography/media/winter-package|BTS Winter Package|0
videography/media/summer-package|BTS Summer Package|0
videography/media/bts-now|BTS Now|0
videography/animations|Анимации|0
videography/animations/bt21-universe|BT21 Universe Animation|0
videography/concerts|Концерты|0
videography/weverse-live|Weverse Live|0
videography/bon-voyage|Bon Voyage|0
others|Разное|0
others/events|События|0
others/events/bts-festa|BTS Festa|0
others/events/concerts|Концерты|0
others/events/tours|Туры|0
others/events/musters|Мастеры|0
others/events/fanmeetings|Фанмитинги|0
others/events/festivals|Фестивали|0
others/events/exhibitions|Выставки|0
others/events/pop-up-exhibitions|Поп-ап выставки|0
others/bibliography|Библиография|0
others/bibliography/books|Книги|0
others/bibliography/photobooks|Фотокниги|0
others/bibliography/web-novels|Веб-новеллы|0
others/bibliography/webtoons|Вебтуны|0
others/games|Игры|0
others/games/bts-island|BTS Island: In the SEOM|0
others/games/rhythm-hive|Rhythm Hive|0
others/games/bts-universe-story|BTS Universe Story|0
others/games/line-hello-bt21|LINE Hello BT21|0
others/games/puzzle-star-bt21|Puzzle Star BT21|0
others/games/bts-world|BTS World|0
others/games/superstar-bts|SuperStar BTS|0
others/brands|Бренды|0
others/brands/tinytan|TinyTAN|0
others/brands/bt21|BT21|0
others/brands/hip-hop-monster|Hip Hop Monster|0
others/original-stories|Original Stories|0
others/original-stories/bts-universe|BTS Universe|0
others/original-stories/7fates-chakho|7FATES: CHAKHO|0
others/endorsements|Рекламные контракты|0
